session_id,visit_date,country,device_type,traffic_source,product_category_viewed,pages_viewed,time_on_site_minutes,added_to_cart,purchased,order_value_usd
30,04/04/2023,UK,Mobile,Direct,Beauty,6,4.37,0,0,0.00
31,23/01/2023,Germany,Tablet,Email,Fashion,5,6,0,0,0.00
32,16/01/2023,UK,Mobile,Paid Ads,Books,3,7.51,1,1,8.85
33,21/11/2024,Canada,Tablet,Social Media,Books,7,8.56,0,0,0.00
34,04/02/2023,Canada,Desktop,Referral,Beauty,6,9.9,0,1,64.62
35,29/12/2024,UK,Mobile,Paid Ads,Sports,8,4.66,1,1,146.47
36,08/06/2024,Germany,Mobile,Organic Search,Electronics,7,6.78,1,0,0.00
37,20/05/2024,USA,Tablet,Paid Ads,Books,9,5.75,0,0,0.00
38,11/08/2023,Germany,Tablet,Organic Search,Beauty,9,3.12,0,1,48.76
39,29/01/2023,Germany,Tablet,Email,Sports,8,4.56,1,1,56.24
40,14/06/2024,UK,Tablet,Organic Search,Books,3,4.64,0,0,0.00
41,27/12/2023,Australia,Mobile,Direct,Sports,6,5.9,0,0,0.00
42,27/02/2023,UK,Tablet,Social Media,Electronics,3,6.14,1,0,0.00
43,15/08/2023,UK,Desktop,Paid Ads,Beauty,4,7.97,0,1,30.24
44,12/01/2023,India,Tablet,Direct,Home,4,9.05,0,0,0.00
45,06/11/2024,Canada,Mobile,Referral,Electronics,7,2.17,1,1,87.19
46,11/07/2024,Australia,Desktop,Direct,Sports,6,6.28,0,0,0.00
47,09/01/2024,Canada,Mobile,Paid Ads,Home,10,8.07,0,0,0.00
48,01/06/2024,USA,Tablet,Referral,Electronics,10,4.3,0,1,29.06
49,03/02/2023,Canada,Desktop,Email,Electronics,6,6.34,1,1,145.71
50,15/09/2024,India,Desktop,Social Media,Fashion,12,6.72,0,1,200.62
51,16/04/2023,India,Mobile,Referral,Electronics,7,5.99,0,0,0.00
52,21/04/2023,India,Tablet,Email,Electronics,3,6.81,0,0,0.00
53,26/12/2023,Canada,Mobile,Paid Ads,Books,9,5.53,0,0,0.00
54,07/06/2024,Germany,Tablet,Paid Ads,Home,5,5.85,1,1,121.00
55,10/09/2023,Canada,Tablet,Email,Fashion,8,4.76,0,0,0.00
56,03/01/2023,Canada,Tablet,Direct,Fashion,6,4.38,0,0,0.00
57,30/09/2023,Australia,Desktop,Email,Books,5,4.19,1,1,30.95
58,03/02/2023,Australia,Desktop,Email,Sports,8,5.99,0,0,0.00
59,12/01/2024,Germany,Mobile,Paid Ads,Fashion,3,4.7,0,0,0.00
60,29/08/2024,India,Desktop,Organic Search,Sports,3,5.03,0,0,0.00
61,11/08/2023,Canada,Mobile,Referral,Fashion,4,5.98,1,1,92.80
62,15/12/2024,India,Mobile,Direct,Books,6,2.74,0,0,0.00
63,16/11/2023,India,Mobile,Organic Search,Electronics,6,6.1,0,0,0.00
64,11/10/2024,UK,Mobile,Referral,Fashion,9,7.15,1,1,56.72
65,11/01/2024,UK,Tablet,Email,Fashion,6,7.16,1,1,95.79
66,14/06/2023,Canada,Mobile,Direct,Sports,9,2.26,1,0,0.00
67,26/10/2024,Canada,Desktop,Paid Ads,Beauty,4,5.3,0,0,0.00
68,17/07/2023,Germany,Mobile,Organic Search,Electronics,8,5.03,0,0,0.00
69,16/10/2023,Australia,Desktop,Social Media,Beauty,5,6.81,1,0,0.00
70,16/08/2023,Germany,Desktop,Direct,Electronics,8,8.66,1,1,232.38
71,11/09/2023,Australia,Tablet,Direct,Electronics,8,5.59,1,1,69.12
72,20/11/2023,India,Desktop,Direct,Home,5,4.75,0,1,44.22
73,20/07/2024,India,Mobile,Paid Ads,Fashion,6,4.17,0,1,80.20
74,29/07/2023,Canada,Desktop,Paid Ads,Beauty,6,3.61,0,0,0.00
75,12/10/2023,USA,Desktop,Email,Fashion,3,6.55,1,0,0.00
76,25/03/2023,India,Desktop,Referral,Electronics,6,4.26,0,1,13.26
77,31/10/2024,India,Tablet,Referral,Electronics,3,4.57,1,0,0.00
78,13/07/2023,India,Mobile,Paid Ads,Beauty,6,6.21,0,1,96.87
79,28/03/2023,Germany,Desktop,Paid Ads,Beauty,8,5.41,1,0,0.00
80,17/08/2023,India,Mobile,Email,Electronics,4,7.63,1,1,28.94
81,14/06/2023,Germany,Desktop,Email,Home,4,8.73,1,0,0.00
82,01/07/2024,Germany,Tablet,Direct,Sports,8,7.54,1,0,0.00
83,13/09/2023,Australia,Tablet,Email,Fashion,7,7.94,1,0,0.00
84,25/04/2023,USA,Desktop,Paid Ads,Electronics,7,5.94,0,1,141.39
85,08/05/2023,Canada,Tablet,Referral,Electronics,5,8.3,1,0,0.00
86,08/12/2023,Australia,Desktop,Organic Search,Electronics,7,5.68,0,0,0.00
87,29/07/2024,Canada,Desktop,Referral,Sports,4,7.61,1,0,0.00
88,23/10/2023,USA,Mobile,Referral,Electronics,9,6.6,0,1,11.46
89,21/05/2024,USA,Mobile,Referral,Electronics,5,5.93,1,0,0.00
90,08/02/2023,Australia,Mobile,Email,Electronics,2,9.54,0,1,131.62
91,17/01/2023,Canada,Mobile,Referral,Sports,11,4.81,0,0,0.00
92,03/05/2024,India,Tablet,Organic Search,Beauty,5,7.64,0,0,0.00
93,17/05/2023,Australia,Tablet,Referral,Sports,5,6.27,0,0,0.00
94,18/03/2024,UK,Desktop,Paid Ads,Books,4,3.92,1,0,0.00
95,10/06/2024,Australia,Desktop,Paid Ads,Home,11,8.56,0,0,0.00
96,30/08/2024,Germany,Mobile,Direct,Books,12,4.25,0,0,0.00
97,31/10/2024,UK,Desktop,Social Media,Electronics,6,7.59,0,0,0.00
98,20/05/2023,India,Desktop,Referral,Sports,11,8.28,0,1,50.97
99,17/04/2023,India,Mobile,Referral,Fashion,4,5.01,1,1,58.36
100,26/07/2024,Canada,Desktop,Paid Ads,Home,9,1.51,0,0,0.00
101,14/07/2023,India,Mobile,Social Media,Home,8,4.24,0,1,31.99
102,15/08/2024,USA,Desktop,Referral,Books,7,5.98,1,1,141.27
103,24/07/2024,UK,Tablet,Direct,Sports,11,6.13,1,0,0.00
104,29/12/2023,India,Tablet,Referral,Home,3,9.13,0,0,0.00
105,08/06/2024,Australia,Mobile,Paid Ads,Home,8,6.69,1,1,61.87
106,10/08/2023,India,Mobile,Direct,Sports,9,6.56,0,0,0.00
107,29/07/2023,USA,Desktop,Social Media,Sports,7,9.13,1,0,0.00
108,05/03/2024,USA,Tablet,Social Media,Fashion,7,5.87,1,1,44.65
109,17/01/2024,Australia,Tablet,Social Media,Sports,6,5.29,0,1,124.61
110,12/06/2023,Germany,Desktop,Organic Search,Electronics,4,5.59,0,1,81.58
111,13/08/2024,Australia,Desktop,Social Media,Electronics,3,5.54,1,0,0.00
112,19/06/2024,India,Desktop,Paid Ads,Books,6,4.65,0,0,0.00
113,26/12/2024,UK,Mobile,Direct,Beauty,6,9.6,0,0,0.00
114,01/01/2024,Canada,Tablet,Email,Sports,10,5.35,0,0,0.00
115,03/11/2024,India,Mobile,Organic Search,Books,2,6.1,0,0,0.00
116,11/08/2024,USA,Tablet,Organic Search,Home,3,9.6,1,0,0.00
117,03/03/2024,Canada,Tablet,Paid Ads,Beauty,4,7.28,1,0,0.00
118,20/02/2024,USA,Mobile,Social Media,Home,11,4.84,0,0,0.00
119,12/01/2023,India,Desktop,Paid Ads,Books,6,5.95,0,1,65.42
120,23/12/2024,USA,Tablet,Organic Search,Home,7,10.28,0,0,0.00
121,28/11/2023,Canada,Desktop,Referral,Books,9,11.19,0,0,0.00
122,31/07/2024,USA,Mobile,Paid Ads,Fashion,8,6.82,1,0,0.00
123,03/06/2024,Germany,Mobile,Paid Ads,Books,7,4.21,0,0,0.00
124,19/08/2023,UK,Desktop,Direct,Books,6,5.72,1,0,0.00
125,28/02/2024,USA,Desktop,Paid Ads,Books,6,4.82,1,0,0.00
126,13/05/2023,India,Desktop,Organic Search,Beauty,5,2.1,0,0,0.00
127,23/07/2023,USA,Mobile,Email,Home,7,5.86,0,1,64.76
128,29/04/2023,UK,Mobile,Paid Ads,Electronics,3,6.38,1,0,0.00
129,30/08/2023,Australia,Mobile,Email,Home,2,4.21,1,0,0.00
130,04/07/2023,UK,Mobile,Social Media,Home,6,6.13,0,0,0.00
131,30/10/2024,Australia,Tablet,Email,Books,11,6.24,0,1,141.60
132,15/10/2024,Canada,Desktop,Organic Search,Electronics,6,8.37,1,0,0.00
133,18/11/2024,UK,Mobile,Referral,Home,4,8.45,1,0,0.00
134,26/04/2024,India,Mobile,Referral,Beauty,7,7.39,0,0,0.00
135,11/12/2024,UK,Tablet,Social Media,Beauty,7,3.62,1,1,84.12
136,26/03/2023,Canada,Tablet,Organic Search,Beauty,4,3.69,0,0,0.00
137,27/10/2023,Canada,Mobile,Social Media,Electronics,10,2.93,1,1,21.49
138,30/11/2023,Australia,Desktop,Organic Search,Sports,6,5.04,0,0,0.00
139,19/10/2024,Canada,Tablet,Direct,Books,8,7.9,0,1,37.99
140,20/01/2024,Australia,Tablet,Paid Ads,Home,4,6.49,1,1,263.49
141,13/01/2024,Germany,Mobile,Direct,Home,9,7.17,0,0,0.00
142,03/08/2024,Canada,Desktop,Direct,Electronics,5,7.36,0,0,0.00
143,30/03/2024,Australia,Desktop,Referral,Home,7,4.39,0,1,192.19
144,07/10/2023,Australia,Desktop,Social Media,Beauty,4,5.24,0,1,56.70
145,09/10/2024,Australia,Desktop,Referral,Fashion,7,3.31,1,1,118.91
146,27/02/2023,USA,Desktop,Direct,Beauty,8,7.12,0,1,70.67
147,27/07/2023,Australia,Tablet,Paid Ads,Sports,4,1.33,0,1,44.06
148,05/09/2023,Canada,Desktop,Email,Sports,7,7.01,1,0,0.00
149,25/04/2024,India,Desktop,Social Media,Fashion,5,7.16,0,1,77.16
150,19/09/2023,Germany,Tablet,Referral,Books,9,5.81,1,1,100.54
151,14/03/2023,UK,Desktop,Email,Beauty,3,7.2,0,1,110.63
152,10/09/2023,Australia,Mobile,Referral,Beauty,8,6.24,0,0,0.00
153,27/01/2024,Australia,Mobile,Direct,Electronics,4,5.18,1,1,83.49
154,22/03/2024,UK,Tablet,Direct,Books,6,5.57,0,1,177.08
155,25/02/2023,Canada,Desktop,Organic Search,Fashion,4,4.58,0,0,0.00
156,31/08/2024,Australia,Desktop,Paid Ads,Fashion,9,7.71,1,0,0.00
157,27/04/2024,USA,Mobile,Organic Search,Fashion,6,4.85,0,0,0.00
158,11/10/2024,Germany,Tablet,Organic Search,Beauty,7,1,0,0,0.00
159,09/04/2024,Germany,Tablet,Referral,Fashion,5,3.61,0,0,0.00
160,15/08/2023,Australia,Tablet,Email,Beauty,10,5.92,0,1,251.64
161,26/12/2024,Germany,Mobile,Paid Ads,Books,5,4.79,1,0,0.00
162,11/04/2023,Australia,Mobile,Organic Search,Beauty,2,7.59,1,0,0.00
163,17/01/2023,USA,Mobile,Direct,Sports,8,8.46,0,0,0.00
164,16/12/2023,Germany,Mobile,Referral,Fashion,4,7.9,1,0,0.00
165,25/11/2023,India,Desktop,Paid Ads,Beauty,4,6.07,1,1,40.85
166,29/05/2023,Australia,Tablet,Referral,Sports,4,6.08,1,0,0.00
167,15/10/2023,UK,Desktop,Referral,Books,5,3.91,0,0,0.00
168,18/02/2024,Canada,Desktop,Referral,Beauty,4,2.07,1,1,113.10
169,13/06/2024,USA,Tablet,Email,Beauty,7,5.28,0,1,83.06
170,24/06/2024,UK,Mobile,Direct,Home,5,2.57,0,0,0.00
171,25/02/2024,Canada,Desktop,Direct,Fashion,9,5.5,0,1,65.66
172,14/04/2023,UK,Desktop,Organic Search,Books,9,9.28,1,1,314.87
173,14/01/2023,UK,Mobile,Social Media,Home,9,8.42,0,0,0.00
174,13/04/2024,UK,Tablet,Organic Search,Fashion,1,7.24,0,0,0.00
175,07/07/2023,USA,Mobile,Email,Books,6,9.08,1,1,233.18
176,16/08/2024,USA,Tablet,Paid Ads,Electronics,3,4.02,1,1,88.65
177,27/04/2023,Germany,Desktop,Social Media,Sports,6,5.83,1,1,60.58
178,28/04/2023,Germany,Desktop,Organic Search,Fashion,6,5.26,1,1,140.18
179,26/07/2024,Germany,Desktop,Referral,Books,9,5.18,0,0,0.00
180,18/02/2023,India,Tablet,Email,Beauty,8,7.06,0,0,0.00
181,16/11/2024,India,Desktop,Social Media,Beauty,6,5.8,0,0,0.00
182,08/08/2023,Germany,Tablet,Direct,Books,7,5.59,1,0,0.00
183,07/09/2023,Canada,Tablet,Paid Ads,Beauty,5,7.57,0,0,0.00
184,18/07/2023,USA,Desktop,Email,Beauty,9,4.22,0,0,0.00
185,19/01/2024,India,Desktop,Social Media,Books,3,4.79,0,0,0.00
186,16/10/2023,Australia,Desktop,Direct,Fashion,5,9.26,1,1,62.49
187,31/05/2024,Germany,Mobile,Referral,Sports,8,4.34,0,1,38.52
188,01/02/2023,India,Desktop,Referral,Sports,5,5.88,0,1,52.70
189,26/01/2023,Australia,Mobile,Organic Search,Books,5,2.87,0,1,33.19
190,02/03/2024,Germany,Mobile,Email,Fashion,8,1.74,1,0,0.00
191,26/08/2023,India,Desktop,Email,Home,8,4.91,1,1,43.42
192,17/09/2023,USA,Desktop,Social Media,Home,9,4.15,1,1,147.50
193,01/10/2024,Germany,Desktop,Email,Home,3,7.16,0,0,0.00
194,01/12/2024,India,Desktop,Organic Search,Books,8,6.65,0,0,0.00
195,11/05/2023,Canada,Mobile,Social Media,Fashion,5,4.8,1,1,192.39
196,16/03/2023,Australia,Mobile,Direct,Electronics,8,3.64,1,0,0.00
197,29/03/2024,India,Mobile,Paid Ads,Electronics,8,8.38,0,0,0.00
198,20/09/2024,Canada,Mobile,Paid Ads,Fashion,6,6.56,1,0,0.00
199,18/03/2024,Germany,Tablet,Organic Search,Sports,6,7.49,1,0,0.00
200,18/08/2024,USA,Desktop,Direct,Home,3,7.08,1,1,123.59
201,14/03/2023,UK,Mobile,Referral,Sports,6,4.18,0,0,0.00
202,11/01/2024,Australia,Tablet,Organic Search,Fashion,4,6.18,1,1,49.87
203,23/09/2024,UK,Mobile,Referral,Electronics,3,7.59,1,0,0.00
204,04/02/2023,UK,Tablet,Direct,Beauty,6,9.44,0,0,0.00
205,04/02/2023,Germany,Tablet,Paid Ads,Electronics,9,5.83,1,0,0.00
206,20/08/2023,Canada,Tablet,Direct,Fashion,7,4.21,0,1,29.22
207,19/09/2023,India,Tablet,Social Media,Books,2,6.21,1,0,0.00
208,28/12/2023,Canada,Mobile,Referral,Electronics,6,5.06,0,0,0.00
209,18/02/2023,UK,Tablet,Email,Books,2,8.17,1,0,0.00
210,29/12/2023,UK,Mobile,Referral,Books,4,4.84,1,0,0.00
211,24/07/2024,UK,Mobile,Email,Beauty,7,3.24,0,1,9.39
212,25/09/2023,India,Desktop,Social Media,Books,7,7.62,0,1,98.30
213,20/11/2023,Germany,Tablet,Paid Ads,Beauty,5,5.74,0,0,0.00
214,15/04/2023,USA,Tablet,Referral,Books,6,6.15,0,0,0.00
215,29/03/2024,UK,Tablet,Referral,Beauty,4,2.61,0,0,0.00
216,23/12/2023,Germany,Desktop,Direct,Sports,7,4.71,0,0,0.00
217,10/01/2024,UK,Desktop,Paid Ads,Electronics,7,5.28,1,0,0.00
218,28/04/2023,UK,Desktop,Paid Ads,Beauty,6,6.46,1,0,0.00
219,28/05/2023,Canada,Tablet,Direct,Beauty,4,8.55,1,0,0.00
220,29/07/2024,UK,Mobile,Email,Home,7,5,0,0,0.00
221,18/03/2024,USA,Desktop,Paid Ads,Home,4,5.7,0,0,0.00
222,05/05/2023,UK,Desktop,Social Media,Sports,6,7.47,1,1,14.58
223,09/03/2023,Australia,Desktop,Referral,Electronics,7,3.03,1,1,68.25
224,16/06/2024,Canada,Mobile,Organic Search,Fashion,6,3.36,1,0,0.00
225,10/03/2024,Australia,Desktop,Email,Sports,8,6.91,1,0,0.00
226,01/04/2023,USA,Tablet,Email,Books,7,7.52,1,0,0.00
227,11/07/2024,Australia,Desktop,Email,Electronics,5,5.9,0,0,0.00
228,09/08/2024,India,Desktop,Paid Ads,Beauty,9,9.28,1,1,99.67
229,25/11/2023,Australia,Mobile,Social Media,Books,2,6.18,1,0,0.00
230,27/05/2023,Canada,Desktop,Email,Sports,3,7.77,1,0,0.00
231,19/07/2024,Canada,Desktop,Email,Books,10,7.58,1,0,0.00
232,25/06/2024,Canada,Desktop,Social Media,Books,4,6.84,1,1,40.46
233,06/11/2024,Germany,Desktop,Social Media,Home,5,6.94,1,1,9.42
234,14/02/2023,USA,Mobile,Direct,Fashion,5,7.32,0,0,0.00
235,13/01/2023,UK,Mobile,Direct,Sports,6,7.88,0,0,0.00
236,19/08/2023,Australia,Mobile,Paid Ads,Fashion,8,6.02,0,0,0.00
237,31/03/2024,Australia,Desktop,Social Media,Books,6,8.01,0,0,0.00
238,17/09/2023,Canada,Tablet,Referral,Home,5,6.67,0,1,28.73
239,29/08/2023,India,Mobile,Social Media,Fashion,3,5.34,1,0,0.00
240,21/11/2023,UK,Mobile,Social Media,Electronics,6,6.31,1,1,22.19
241,05/02/2024,Australia,Tablet,Paid Ads,Home,6,7.04,1,1,32.77
242,27/03/2024,India,Mobile,Referral,Home,6,6.82,0,0,0.00
243,30/10/2023,Australia,Mobile,Direct,Beauty,4,5.75,1,0,0.00
244,01/02/2024,India,Mobile,Referral,Home,9,7.35,0,1,58.53
245,29/05/2023,Germany,Desktop,Email,Home,5,8,1,0,0.00
246,22/02/2023,USA,Mobile,Social Media,Beauty,7,7.03,1,0,0.00
247,01/07/2023,India,Mobile,Email,Beauty,5,5.46,0,0,0.00
248,26/08/2024,India,Tablet,Direct,Books,3,9.13,1,1,50.00
249,15/05/2024,India,Mobile,Paid Ads,Sports,8,4.85,1,1,155.37
250,18/05/2024,UK,Mobile,Paid Ads,Electronics,4,6.36,0,0,0.00
251,16/02/2024,Canada,Desktop,Referral,Sports,6,10.25,1,1,91.62
252,12/06/2024,Canada,Mobile,Referral,Beauty,3,8.56,1,0,0.00
253,23/11/2024,Germany,Desktop,Social Media,Sports,9,7.12,0,1,92.68
254,27/12/2023,Germany,Desktop,Referral,Sports,6,6.4,1,0,0.00
255,21/10/2023,India,Tablet,Direct,Electronics,9,4.32,1,1,89.71
256,06/05/2024,USA,Tablet,Paid Ads,Home,10,6.38,1,0,0.00
257,24/07/2024,Australia,Mobile,Paid Ads,Fashion,10,4.68,0,1,83.75
258,01/07/2024,USA,Tablet,Organic Search,Fashion,6,8.11,1,1,59.03
259,26/03/2024,India,Desktop,Email,Books,2,4.25,1,0,0.00
260,04/09/2023,Canada,Desktop,Social Media,Electronics,6,6.5,1,1,74.74
261,01/10/2023,USA,Desktop,Direct,Home,9,6.97,0,1,106.71
262,02/08/2024,Australia,Desktop,Organic Search,Books,7,5.62,1,0,0.00
263,03/02/2024,USA,Desktop,Direct,Sports,5,7.84,0,0,0.00
264,19/04/2024,Australia,Mobile,Email,Electronics,7,8.07,1,0,0.00
265,08/03/2024,Canada,Mobile,Direct,Fashion,4,7.48,0,1,37.51
266,26/01/2024,UK,Mobile,Organic Search,Electronics,2,6.07,0,1,141.73
267,18/06/2023,USA,Desktop,Referral,Books,7,4.19,0,1,40.33
268,29/09/2023,Canada,Desktop,Email,Electronics,4,8.84,1,1,106.21
269,02/06/2023,Germany,Tablet,Social Media,Books,6,2.99,0,0,0.00
270,06/04/2023,Germany,Desktop,Referral,Sports,4,5.16,0,0,0.00
271,14/03/2023,Germany,Desktop,Organic Search,Sports,10,7.88,0,1,36.23
272,23/02/2024,India,Desktop,Direct,Home,4,8.89,0,0,0.00
273,17/06/2023,Canada,Desktop,Organic Search,Electronics,5,6.49,0,0,0.00
274,02/04/2024,USA,Tablet,Referral,Sports,7,8.77,0,1,18.53
275,23/04/2023,India,Tablet,Social Media,Sports,3,7.36,0,1,133.53
276,28/02/2023,India,Mobile,Email,Sports,5,5.63,0,0,0.00
277,16/10/2023,Australia,Desktop,Social Media,Fashion,7,4.07,0,1,28.45
278,30/10/2024,Canada,Desktop,Direct,Beauty,6,3.31,0,0,0.00
279,22/01/2024,India,Desktop,Social Media,Beauty,5,6.75,1,1,62.45
280,18/04/2023,UK,Desktop,Direct,Electronics,6,6.37,1,0,0.00
281,18/12/2023,USA,Desktop,Email,Books,7,7.1,0,0,0.00
282,01/09/2024,Germany,Desktop,Direct,Beauty,4,6.68,1,0,0.00
283,24/03/2023,Canada,Mobile,Email,Electronics,7,5.95,0,1,58.06
284,02/01/2024,UK,Desktop,Social Media,Electronics,4,9.5,1,0,0.00
285,31/07/2023,Germany,Tablet,Organic Search,Books,4,8.76,1,0,0.00
286,01/01/2024,Canada,Desktop,Email,Electronics,3,9.41,1,1,52.31
287,31/10/2023,USA,Tablet,Social Media,Sports,7,2.65,1,0,0.00
288,08/05/2024,Germany,Tablet,Email,Electronics,8,6.19,1,0,0.00
289,20/03/2024,USA,Desktop,Referral,Fashion,8,9,1,0,0.00
290,02/08/2023,UK,Desktop,Direct,Beauty,5,6,1,0,0.00
291,01/05/2023,India,Mobile,Direct,Sports,3,7.58,1,1,85.81
292,10/03/2023,USA,Tablet,Paid Ads,Home,3,2.75,1,0,0.00
293,02/06/2023,Canada,Mobile,Referral,Beauty,8,6.71,0,1,83.89
294,28/03/2023,India,Mobile,Organic Search,Beauty,8,1.69,1,0,0.00
295,14/02/2023,India,Tablet,Paid Ads,Beauty,2,7.95,0,0,0.00
296,16/10/2023,Australia,Desktop,Referral,Books,7,7.84,0,0,0.00
297,11/01/2023,UK,Desktop,Email,Beauty,3,4.53,1,0,0.00
298,23/05/2024,USA,Desktop,Referral,Fashion,8,4.6,0,0,0.00
299,03/04/2023,Germany,Mobile,Referral,Sports,4,4.21,1,0,0.00
300,21/11/2023,Australia,Mobile,Organic Search,Home,12,5.18,1,1,137.01
301,20/08/2024,Germany,Desktop,Referral,Home,9,7.64,0,0,0.00
302,20/08/2023,India,Desktop,Direct,Home,2,3.32,1,1,62.26
303,18/02/2023,Canada,Tablet,Direct,Beauty,6,3.84,0,0,0.00
304,28/02/2023,USA,Desktop,Referral,Beauty,4,4.62,0,1,141.99
305,14/12/2023,UK,Desktop,Referral,Sports,3,5.19,0,0,0.00
306,20/07/2023,Germany,Desktop,Social Media,Fashion,9,5.11,1,1,44.84
307,27/12/2024,Australia,Mobile,Referral,Beauty,9,8.74,0,0,0.00
308,21/01/2024,USA,Desktop,Organic Search,Home,5,2.48,1,0,0.00
309,19/10/2024,Australia,Desktop,Direct,Beauty,9,2.47,1,1,52.61
310,12/03/2024,Germany,Tablet,Direct,Fashion,6,3.98,0,0,0.00
311,11/03/2023,Germany,Mobile,Paid Ads,Sports,9,2.07,1,0,0.00
312,18/03/2023,Canada,Desktop,Organic Search,Beauty,5,8.32,1,1,26.74
313,29/11/2024,India,Tablet,Email,Electronics,3,5.51,0,0,0.00
314,20/08/2024,Australia,Mobile,Email,Books,4,8.14,1,1,234.85
315,20/06/2024,USA,Mobile,Email,Home,5,9.3,1,0,0.00
316,25/11/2024,UK,Tablet,Direct,Beauty,11,9.75,0,1,43.28
317,01/07/2023,Australia,Mobile,Social Media,Books,5,6.31,1,0,0.00
318,21/12/2024,Canada,Desktop,Social Media,Books,3,7.05,1,1,161.71
319,10/08/2023,Australia,Desktop,Referral,Electronics,10,9.26,0,0,0.00
320,21/12/2024,Canada,Mobile,Paid Ads,Books,10,7.51,1,1,82.71
321,29/08/2024,Australia,Desktop,Paid Ads,Books,5,6.15,1,1,95.55
322,12/03/2023,India,Desktop,Organic Search,Books,4,2.31,0,0,0.00
323,29/04/2024,Australia,Mobile,Email,Fashion,5,5.18,1,0,0.00
324,21/07/2024,Australia,Desktop,Organic Search,Electronics,5,5.03,0,1,47.53
325,11/01/2024,UK,Mobile,Social Media,Home,5,4.15,0,0,0.00
326,28/02/2024,UK,Desktop,Paid Ads,Fashion,3,6.23,0,1,61.58
327,14/03/2024,Canada,Desktop,Referral,Books,5,8.26,1,0,0.00
328,17/05/2024,USA,Mobile,Paid Ads,Electronics,9,7.36,1,0,0.00
329,15/08/2023,Canada,Desktop,Referral,Books,9,6.19,1,0,0.00
330,04/07/2024,USA,Desktop,Referral,Fashion,6,9.45,1,0,0.00
331,20/12/2024,USA,Desktop,Direct,Home,7,4.56,1,1,55.46
332,02/12/2024,Germany,Desktop,Direct,Electronics,3,10.96,1,1,265.65
333,17/09/2024,Germany,Desktop,Direct,Sports,3,6.77,0,0,0.00
334,24/11/2023,USA,Mobile,Email,Home,4,2.67,0,1,5.01
335,29/09/2023,Canada,Desktop,Direct,Beauty,11,1.76,1,0,0.00
336,23/05/2023,Australia,Desktop,Email,Home,5,1.83,1,0,0.00
337,08/04/2023,USA,Desktop,Email,Electronics,6,9.45,1,1,20.62
338,06/09/2024,USA,Desktop,Referral,Home,7,6.93,0,0,0.00
339,11/07/2023,Canada,Desktop,Direct,Home,4,4.01,0,0,0.00
340,29/10/2024,India,Tablet,Email,Home,7,3.54,0,1,41.72
341,15/04/2023,India,Tablet,Direct,Books,5,1.96,0,1,85.13
342,05/01/2024,India,Tablet,Direct,Beauty,3,6.06,0,0,0.00
343,16/04/2024,UK,Mobile,Referral,Home,5,3.37,0,0,0.00
344,14/07/2023,USA,Tablet,Paid Ads,Sports,3,7.71,0,0,0.00
345,09/10/2023,UK,Tablet,Direct,Books,7,9.34,1,1,46.60
